Symbol	Description
JAYBEE-SM	JAYBEE-SM
JAYESH.ST	Jayesh Logistics Limited
JAYNECOIND	Jayaswal Neco Industries Limited
JAYSREETEA	Jayshree Tea & Industries Limited
JBCHEPHARM	JB Chemicals & Pharmaceuticals Limited
JBMA	JBM Auto Limited
JETFREIGHT	Jet Freight Logistics Limited
JETKNIT.ST	JET KNITWEARS LTD
JEYYAM-SM	JEYYAM-SM
JEYYAM.ST	JEYYAM GLOBAL FOODS LTD
JFLLIFE-SM	JFLLIFE-SM
JGCHEM	J.G.CHEMICALS LIMITED
JHS	JHS Svendgaard Laboratories Limited
JINDALPHOT	Jindal Photo Limited
JINDALPOLY	Jindal Poly Films Limited
JINDALSAW	Jindal Saw Limited
JINDALSTEL	Jindal Steel & Power Limited
JINDRILL	Jindal Drilling And Industries Limited
JINDWORLD	Jindal Worldwide Limited
JIOFIN	JIO Financial Services Ltd
JISLDVREQS	Jain Irrigation Systems Limited
JISLJALEQS	Jain Irrigation Systems Limited
JITFINFRA	JITF Infralogistics Limited
JIWANRAM-SM	JIWANRAM-SM
JKCEMENT	JK Cement Limited
JKCEMENT.BL	JKCEMENT.BL
JKIL	J.Kumar Infraprojects Limited
JKLAKSHMI	JK Lakshmi Cement Limited
JKPAPER	JK Paper Limited
JKTYRE	JK Tyre & Industries Limited
JLHL	Jupiter Life Line Hospitals Limited
JMA	Jullundur Motor Agency (Delhi) Limited
JMFINANCIL	JM Financial Limited
JNKINDIA	JNK India Ltd
JOCIL	Jocil Limited
JPASSOCIAT	Jaiprakash Associates Limited
JPOLYINVST	Jindal Poly Investment and Finance Company Limited
JPPOWER	Jaiprakash Power Ventures Limited
JPPOWER.T0	JPPOWER.T0
JSFB	Jana Small Finance Bank
JSL	Jindal Stainless Limited
JSL.BL	JINDAL STAINLESS
JSLL	JEENA SIKHO LIFECARE LTD
JSWCEMENT	JSW Cement Ltd
JSWENERGY	JSW Energy Limited
JSWHL	JSW Holdings Limited
JSWINFRA	JSW Infrastructure Limited
JSWSTEEL	JSW Steel Limited
JTEKTINDIA	Jtekt India Limited
JTEKTINDIA.BL	JTEKTINDIA.BL
JTLIND	JTL Industries Ltd
JUBLCPL	Jubilant Agri and Consumer Products Limited
JUBLFOOD	Jubilant Foodworks Limited
JUBLINGREA	Jubilant Ingrevia Limited
JUBLPHARMA	Jubilant Pharmova Limited
JUNIORBEES	Nippon India ETF Nifty Next 50 Junior BeES
JUNIPER	Juniper Hotels Ltd
JUSTDIAL	Just Dial Limited
JWL	Jupiter Wagons Limited
JYOTHYLAB	Jyothy Labs Limited
JYOTICNC	Jyoti CNC Automation Limited
JYOTISTRUC	Jyoti Structures Limited
KABRAEXTRU	Kabra Extrusion Technik Limited
KAJARIACER	Kajaria Ceramics Limited
KAKATCEM	Kakatiya Cement Sugar & Industries Limited
KALAMANDIR	SAI SILKS (KALAMANDIR) LIMITED
KALANA-SM	KALANA-SM
KALPATARU	KALPATARU
KALYANIFRG	Kalyani Forge Limited
KALYANKJIL	Kalyan Jewellers India Limited
KAMATHOTEL	Kamat Hotels (I) Limited
KAMDHENU	Kamdhenu Limited
KAMOPAINTS	Kamdhenu Ventures Limited
KANANIIND	Kanani Industries Limited
KANDARP.ST	KANDARP DG SMART BPO LTD
KANORICHEM	Kanoria Chemicals & Industries Limited
KANPRPLA	Kanpur Plastipack Limited
KANSAINER	Kansai Nerolac Paints Limited
KAPSTON	Kapston Services Limited
KARMAENG	Karma Energy Limited
KARNIKA-SM	KARNIKA INDUSTRIES LTD
KARURVYSYA	Karur Vysya Bank Limited
KATARIA-SM	KATARIA-SM
KAUSHALYA	Kaushalya Infrastructure Development Corporation Limited
KAVDEFENCE	KAVDEFENCE
KAYA	Kaya Limited
KAYNES	Kaynes Technology India Limited
KAYNES.BL	Kaynes Technology Ind Ltd
KCK.ST	KCK INDUSTRIES LTD
KCP	KCP Limited
KCPSUGIND	KCP Sugar and Industries Corporation Limited
KDDL	KDDL Limited
KDL-SM	KDL-SM
KEC	KEC International Limited
KECL	Kirloskar Electric Company Limited
KEEPLEARN	DSJ Keep Learning Limited
KEI	KEI Industries Limited
KEL-SM	KEL-SM
KELLTONTEC	Kellton Tech Solutions Limited
KELLTONTEC.BL	KELLTONTEC.BL
KERNEX	Kernex Microsystems (India) Limited
KESORAMIND	Kesoram Industries Limited
KEYFINSERV	Keynote Financial Services Limited
KFINTECH	Kfin Technologies Limited
KHADIM	Khadim India Limited
KHAICHEM	Khaitan Chemicals & Fertilizers Limited
KHAITANLTD	Khaitan (India) Limited
KHANDSE	Khandwala Securities Limited
KICL	Kalyani Investment Company Limited
KILITCH	Kilitch Drugs (India) Limited
KILITCH.BL	KILITCH.BL
KIMS	Krishna Institute of Medical Sciences Limited
KIMS.BL	KRISHNA INST OF MED SCI L
KINGFA	Kingfa Science & Technology (India) Limited
KIOCL	KIOCL Limited
KIRIINDUS	Kiri Industries Limited
KIRLOSBROS	Kirloskar Brothers Limited
KIRLOSENG	Kirloskar Oil Engines Limited
KIRLOSIND	Kirloskar Industries Limited
KIRLPNU	KIRLOSKAR PNEUMATIC CO LTD
KITEX	Kitex Garments Limited
KKCL	Kewal Kiran Clothing Limited
KKVAPOW	KKVAPOW
KLL-SM	KLL-SM
KMEW	Knowledge Marine & Engineering Works Limited
KMSUGAR	K.M.Sugar Mills Limited
KNRCON	KNR Constructions Limited
KOHINOOR	Kohinoor Foods Limited
KOKUYOCMLN	Kokuyo Camlin Limited
KOLTEPATIL	Kolte - Patil Developers Limited
KONSTELEC-SM	KONSTELEC-SM
KOPRAN	Kopran Limited
KOTAKBANK	Kotak Mahindra Bank Limited
KOTARISUG	Kothari Sugars And Chemicals Limited
KOTHARIPET	Kothari Petrochemicals Limited
KOTHARIPRO	Kothari Products Limited
KOTYARK.ST	KOTYARK INDUSTRIES LTD
KPEL	K.P. Energy Limited
KPIGREEN	KPI Green Energy Limited
KPIL	Kalpataru Projects International Ltd.
KPITTECH	KPIT Technologies Limited
KPRMILL	K.P.R. Mill Limited
KRBL	KRBL Limited
KREBSBIO	Krebs Biochemicals and Industries Limited
KRIDHANINF	Kridhan Infra Limited
KRISHANA	Krishana Phoschem Limited
KRISHCA-SM	KRISHCA-SM
KRISHFL.RE	KRISHFL.RE
KRISHIVAL	KRISHIVAL
KRISHNADEF-SM	KRISHNA DEFENCE AN
KRITI	Kriti Industries (India) Limited
KRITIKA	Kritika Wires Limited
KRITINUT	Kriti Nutrients Limited
KRN	KRN Heat Exchanger and Refrigeration
KRONOX	Kronox Lab Sciences Ltd
KROSS	Kross Ltd
KRSNAA	Krsnaa Diagnostics Limited
KRT	KNOWLEDGE REALTY TRUST UNITS
KRT-RR	Knowledge Realty Trust REIT Ltd
KRYSTAL	Krystal Integrated Services Ltd
KSB	KSB Ltd
KSCL	Kaveri Seed Company Limited
KSHINTL	KSH International Limited
KSHITIJPOL	Kshitij Polyline Limited
KSL	Kalyani Steels Limited
KSOLVES	Ksolves India Limited
KTKBANK	The Karnataka Bank Limited
KUANTUM	Kuantum Papers Limited
KWIL	KWIL
LAGNAM	Lagnam Spintex Limited
LAKPRE	Lakshmi Precision Screws Limited
LAKSHYA-SM	LAKSHYA-SM
LAL	Lorenzini Apparels Limited
LALPATHLAB	Dr. Lal Path Labs Ltd.
LALPATHLAB.BL	LALPATHLAB.BL
LAMBODHARA	Lambodhara Textiles Limited
LANCORHOL	LANCOR HOLDINGS LTD.
LANDMARK	Landmark Cars Limited
LAOPALA	La Opala RG Limited
LASA	Lasa Supergenerics Limited
LATENTVIEW	Latent View Analytics Limited
LATTEYS	Latteys Industries Limited
LAURUSLABS	Laurus Labs Limited
LAXMICOT	Laxmi Cotspin Limited
LAXMIDENTL	LAXMIDENTL
LAXMIINDIA	LAXMIINDIA
LAXMIMACH	Lakshmi Machine Works Limited
LCCINFOTEC	LCC Infotech Limited
LEMONTREE	Lemon Tree Hotels Limited
LENSKART	Lenskart Solutions Ltd
LEXUS	Lexus Granito (India) Limited
LFIC	Lakshmi Finance & Industrial Corporation Limited
LGBBROSLTD	LG Balakrishnan & Bros Limited
LGEINDIA	LG Electronics India Ltd
LGEINDIA.BL	LGEINDIA.BL
LGHL	Laxmi Goldorna House Ltd
LIBAS	Libas Consumer Products Limited
LIBERTSHOE	Liberty Shoes Limited
LICHSGFIN	LIC Housing Finance Limited
LICI	Life Insurance Corporation Of India
LICNETFGSC	LIC Nomura Mutual Fund - LIC Nomura MF G-Sec Long Term Exchange Traded Fund
LICNETFN50	LIC Mutual Fund - LIC MF Exchange Traded Fund - Nifty 50
LICNETFSEN	LIC Mutual Fund - LIC MF Exchange Traded Fund - Sensex
LICNFNHGP	LIC Mutual Fund - LIC MF Exchange Traded Fund - NIFTY 100
LICNMID100	LICNMID100
LIKHITHA	Likhitha Infrastructure Limited
LINC	Linc Limited
LINCOLN	Lincoln Pharmaceuticals Limited
LINDEINDIA	Linde India Limited
LIQUID	LIQUID
LIQUID1	Kotak Mahindra Mutual Fund - Kotak Nifty 1d Rate Liquid Etf
LIQUIDADD	LIQUIDADD
LIQUIDBEES	Reliance ETF Liquid BeES
LIQUIDBETF	LIQUIDBETF
LIQUIDCASE	LIQUIDCASE
LIQUIDETF	DSP Blackrock Mutual Fund - Liquid ETF
LIQUIDIETF	LIQUIDIETF
LIQUIDPLUS	LIQUIDPLUS
LIQUIDSBI	LIQUIDSBI
LIQUIDSHRI	LIQUIDSHRI
LLOYDS	LLOYDS ENGINEERING WORKS RIGHTS LT
LLOYDSENGG	Lloyds Engineering Works Limited
LLOYDSENT	Lloyds Enterprises Limited
LLOYDSME	LLOYDS METALS AND ENERGY LTD.
LMW	LMW Limited
LODHA	Macrotech Developers Limited
LODHA.BL	Macrotech Developers Ltd
LOKESHMACH	Lokesh Machines Limited
LORDSCHLO	LORDS CHLORO ALKALI ORD T (BSE)
LOTUSDEV	LOTUSDEV
LOTUSEYE	Lotus Eye Hospital and Institute Limited
LOVABLE	Lovable Lingerie Limited
LOWVOL	LOWVOL
LOWVOL1	LOWVOL1
LOWVOLIETF	LOWVOLIETF
LOYALTEX	Loyal Textile Mills Limited
LPDC	Landmark Property Development Company Limited
LT	Larsen & Toubro Limited
LT.BL	LARSEN & TOUBRO
LTF	L&T Finance Limited
LTFOODS	LT Foods Limited
LTGILTBEES	Nippon India Mutual Fund - Nippon India ETF Long Term Gilt
LTM	LTIMindtree Limited
LTTS	L&T Technology Services Limited
LUMAXIND	Lumax Industries Limited
LUMAXTECH	Lumax Auto Technologies Limited
LUPIN	Lupin Limited
LUPIN.BL	LUPIN.BL
LUXIND	Lux Industries Limited
LXCHEM	Laxmi Organic Industries Limited
LYKALABS	Lyka Labs Limited
LYPSAGEMS	Lypsa Gems & Jewellery Limited
M&M	Mahindra & Mahindra Limited
M&MFIN	Mahindra & Mahindra Financial Services Limited
MAANALU	Maan Aluminium Limited
MACOBSTECH-SM	MACOBSTECH-SM
MACPOWER	Macpower CNC Machines Limited
MADHAV	Madhav Marbles and Granites Limited
MADHAVBAUG.ST	VAIDYA SANE AYUR LAB LTD
MADHUCON	Madhucon Projects Limited
MADHUSUDAN-SM	MADHUSUDAN-SM
MADRASFERT	Madras Fertilizers Limited
MAFANG	Mirae Asset NYSE FANG+ETF
MAGADSUGAR	Magadh Sugar & Energy Limited
MAGNUM	Magnum Ventures Limited
MAHABANK	Bank of Maharashtra
MAHAPEXLTD	Maha Rashtra Apex Corporation Limited
MAHASTEEL	Mahamaya Steel Industries Limited
MAHEPC	Mahindra EPC Irrigation Limited
MAHESHWARI	Maheshwari Logistics Limited
MAHICKRA-SM	MAHICKRA-SM
MAHKTECH	Mirae Asset Hang Seng TECH ETF
MAHLIFE	Mahindra Lifespace Developers Limited
MAHLOG	Mahindra Logistics Limited
MAHLOG.BL	MAHLOG.BL
MAHSCOOTER	Maharashtra Scooters Limited
MAHSEAMLES	Maharashtra Seamless Limited
MAITHANALL	Maithan Alloys Limited
MAITREYA-SM	MAITREYA
MAKEINDIA	MAKEINDIA
MALLCOM	Mallcom (India) Limited
MALUPAPER	Malu Paper Mills Limited
MAMATA	MAMATA
MANAKALUCO	Manaksia Aluminium Company Limited
MANAKCOAT	Manaksia Coated Metals & Industries Limited
MANAKSIA	Manaksia Limited
MANAKSTEEL	Manaksia Steels Limited
MANALIPETC	Manali Petrochemicals Limited
MANAPPURAM	Manappuram Finance Limited
MANAPPURAM.BL	MANAPPURAM FINANCE
MANAV	MANAV
MANAV-SM	MANAV-SM
MANAV.ST	MANAV.ST
MANBA	Manba Finance Ltd
MANCREDIT	Mangal Credit and Fincorp Limited
MANGALAM	Mangalam Drugs And Organics Limited
MANGLMCEM	Mangalam Cement Limited
MANINDS	Man Industries (India) Limited
MANINFRA	Man Infraconstruction Limited
MANKIND	Mankind Pharma Ltd
MANKIND.BL	Mankind Pharma Limited
MANOMAY	Manomay Tex India Limited
MANORAMA	Manorama Industries Limited
MANORG	Mangalam Organics Limited
MANUGRAPH	Manugraph India Limited
MANYAVAR	Vedant Fashions Limited
MAPMYINDIA	C.E. Info Systems Limited
MARALOVER	Maral Overseas Limited
MARATHON	Marathon Nextgen Realty Limited
MARC.SM	Marc Technocrats Limited
MARCO-SM	MARCO-SM
MARICO	Marico Limited
MARINE	Marine Electricals (India) Limited
MARKSANS	Marksans Pharma Limited
MARSHALL	Marshall Machines Limited
MARUTI	Maruti Suzuki India Limited
MASFIN	MAS Financial Services Limited
MASKINVEST	Mask Investments Limited
MASON.ST	Mason Infratech Limited
MASPTOP50	Mirae Asset S&P 500 Top 50 ETF
MASTEK	Mastek Limited
MASTERTR	Master Trust Limited
MATRIMONY	Matrimony.Com Limited
MAWANASUG	Mawana Sugars Limited
MAXESTATES	Max Estates Limited
MAXHEALTH	Max Healthcare Institute Limited
MAXHEALTH.BL	MAX HEALTHCARE INS LTD
MAXIND	Max India Limited
MAXPOSURE-SM	MAXPOSURE-SM
MAYASHEEL.ST	Mayasheel Ventures Limited
MAYURUNIQ	Mayur Uniquoters Ltd
MAZDA	Mazda Limited
MAZDOCK	Mazagon Dock Shipbuilders Limited
MBAPL	Madhya Bharat Agro Products Limited
MBEL	MBEL
MBLINFRA	MBL Infrastructure Limited
MCDOWELL-N	United Spirits Limited
MCL	Madhav Copper Limited
MCLEODRUSS	Mcleod Russel India Limited
MCLOUD	MAGELLANIC CLOUD LTD
MCON-SM	MCON-SM
MCX	Multi Commodity Exchange of India Limited
MDL-SM	MDL-SM
MEDANTA	Global Health Limited
MEDIASSIST	MEDI ASSIST HEALTHCARE SERVICES LIMITED
MEDIASSIST.BL	MEDI ASSIST HEALTH SER L
MEDICAMEQ	Medicamen Biotech Limited
MEDICO	Medico Remedies Limited
MEDIORG	Medicamen Organics Ltd
MEDPLUS	Medplus Health Services Limited
MEESHO	MEESHO LTD
MEGAFLEX-SM	MEGAFLEX-SM
MEGASTAR	Megastar Foods Limited
MEGATHERM-SM	MEGATHERM-SM
MENONBE	Menon Bearings Limited
MEP	MEP Infrastructure Developers Limited
MERCATOR	Mercator Limited
METAL	METAL
METALIETF	METALIETF
METROBRAND	Metro Brands Limited
METROPOLIS	Metropolis Healthcare Limited
METROPOLIS.BL	METROPOLIS.BL
MFML	Mahalaxmi Fabric Mills Limited
MFSL	Max Financial Services Limited
MFSL.BL	MAX FINANCIAL SERV
MGEL	Mangalam Global Enterprise Limited
MGL	Mahanagar Gas Limited
MGSL.ST	Matrix Geo Solutions Limited
MHHL-SM	MHHL-SM
MHLXMIRU	Mahalaxmi Rubtech Limited
MHRIL	Mahindra Holidays & Resorts India Limited
MICEL	MIC Electronics Limited
MICROPRO-SM	MICROPRO-SM
MID150	Kotak Mahindra Mutual Fund - Kotak Nifty Midcap 150 Etf
MID150BEES	Nippon India Mutual Fund -Nippon India ETF Nifty Midcap 150
MID150CASE	MID150CASE
MIDADDINAV	MIDADDINAV
MIDCAP	Kotak Mahindra Mutual Fund - Kotak Nifty Midcap 50 ETF
MIDCAPADD	MIDCAPADD
MIDCAPBETA	MIDCAPBETA
MIDCAPETF	MIDCAPETF
MIDCAPIETF	MIDCAPIETF
MIDHANI	Mishra Dhatu Nigam Limited
MIDQ50ADD	MIDQ50ADD
MIDSELIETF	MIDSELIETF
MIDSMALL	MIDSMALL
MIEL.ST	Manglam Infra & Engineering Ltd.
MINDACORP	Minda Corporation Limited
MINDSPACE-RR	Mindspace Business Parks Reits
MINDTECK	Mindteck (India) Limited
MIRCELECTR	MIRC Electronics Limited
MIRCELECTR.BL	MIRCELECTR.BL
MIRZAINT	Mirza International Limited
MITCON	MITCON Consultancy & Engineering Services Limited
MITTAL	Mittal Life Style Limited
MKPL	M. K. Proteins Limited
MMFL	MM Forgings Limited
MMP	MMP Industries Limited
MMTC	MMTC Limited
MMTC.T0	MMTC.T0
MNC	MNC
MOBIKWIK	MOBIKWIK
MOCAPITAL	Motilal Oswal AMC Ltd. - Motilal Oswal Nifty Capital Market ETF
MODEFENCE	Motilal Oswal Nifty India Defence ETF
MODIRUBBER	Modi Rubber Limited
MODISONLTD	MODISON LIMITED
MODTHREAD	Modern Threads (India) Limited
MOGSEC	Motilal Oswal Amc Ltd. - Motilal Oswal Mutual Fund - Motilal Oswal 5 Year G-Sec ETF
MOHEALTH	Motilal Oswal S&P BSE Healthcare ETF
MOHITIND	Mohit Industries Limited
MOIL	MOIL Limited
MOINFRA	Motilal Oswal Asset Management Co. Ltd - Motilal Oswal BSE India Infrastructure ETF
MOKSH	Moksh Ornaments Limited
MOL	Meghmani Organics Limited
MOLDTECH	Mold-Tek Technologies Limited
MOLDTKPAC	Mold-Tek Packaging Limited
MOLOWVOL	Motilal Oswal S&P BSE Low Volatility ETF
MOM100	Motilal Oswal Nifty Midcap 100 ETF
MOM30IETF	MOM30IETF
MOM50	Motilal Oswal M50 ETF
MOMENTUM	Aditya Birla Sun Life Nifty 200 Momentum 30 ETF
MOMENTUM50	MOMENTUM50
MOMGF	Motilal Oswal Mutual Fund - Motilal Oswal Nifty India Manufacturing ETF
MOMOMENTUM	Motilal Oswal AMC Ltd. - Motilal Oswal Mutual Fund - Motilal Oswal Nifty 200 Momentum 30 ETF
MON100	Motilal Oswal NASDAQ 100 ETF
MON50EQUAL	Motilal Oswal Asset Management Company Ltd. - Motilal Oswal Nifty 50 Equity Weight ETF
MONARCH	Monarch Networth Capital Limited
MONEXT50	Motilal Oswal Mutual Fund - Nifty Next 50 Etf
MONIFTY500	MONIFTY500
MONOLITH.ST	Monolithisch India Limited
MONOPHARMA-SM	MONOPHARMA-SM
MONQ50	Motilal Oswal Nasdaq Q 50 ETF
MONTECARLO	Monte Carlo Fashions Limited
MOPSE	Motilal Oswal Mutual Fund - Motilal Oswal Nifty Pse ETF
MOQUALITY	Motilal Oswal S&P BSE Quality ETF
MORARJEE	Morarjee Textiles Limited
MOREALTY	MOREALTY
MOREPENLAB	Morepen Laboratories Limited
MOS-SM	MOS UTILITY LIMITED
MOSCHIP	MOSCHIP TECHNOLOGIES LTD
MOSMALL250	MOSMALL250
MOTHERSON	Samvardhana Motherson International Limited
MOTHERSON.BL	SAMVRDHNA MTHRSN INTL LTD
MOTHERSON.TL	MOTHERSON.TL
MOTILALOFS	Motilal Oswal Financial Services Limited
MOTISONS	Motisons Jewellers Ltd
MOTOGENFIN	The Motor & General Finance Limited
MOTOUR	Motilal Oswal Nifty India Tourism ETF
MOVALUE	MOVALUE
MOXSH.ST	Moxsh Overseas Educon Ltd
MPEL.ST	Manas Polymers and Energies Limited
MPHASIS	MphasiS Limited
MPSLTD	MPS Limited
MPTODAY.SM	Madhya Pradesh Today Media Limited
MRF	MRF Limited
MRPL	Mangalore Refinery and Petrochemicals Limited
MSCIINDIA	MSCIINDIA
MSPL	MSP Steel & Power Limited
MSTCLTD	Mstc Limited
MSUMI	Motherson Sumi Wiring India Limited
MSUMI.T0	MSUMI.T0
MSUMI.TL	MSUMI.TL
MTARTECH	Mtar Technologies Limited
MTEDUCARE	MT Educare Limited
MTNL	Mahanagar Telephone Nigam Limited
MUFIN	Mufin Green Finance Ltd
MUFTI	Credo Brands Marketing Limited
MUKANDLTD	Mukand Limited
MUKKA	Mukka Proteins Limited
MUKTAARTS	Mukta Arts Limited
MULTICAP	MULTICAP
MUNISH.ST	Munish Forge Limited
MUNJALAU	Munjal Auto Industries Limited
MUNJALSHOW	Munjal Showa Limited
MURUDCERA	Murudeshwar Ceramics Limited
MUTHOOTCAP	Muthoot Capital Services Limited
MUTHOOTFIN	Muthoot Finance Limited
MUTHOOTMF	Muthoot Microfin Limited
MVGJL	Manoj Vaibhav Gems 'N' Jewellers Limited
MVKAGRO.ST	M.V.K. AGRO FOOD P
MYMUDRA.ST	MY MUDRA FINCORP LIMITED
NACL.RE	NACL.RE
NACLIND	NACL Industries Limited
NAGAFERT	Nagarjuna Fertilizers and Chemicals Limited
NAGREEKCAP	Nagreeka Capital & Infrastructure Limited
NAGREEKEXP	Nagreeka Exports Limited
NAHARCAP	Nahar Capital and Financial Services Limited
NAHARINDUS	Nahar Industrial Enterprises Limited
NAHARPOLY	Nahar Poly Films Limited
NAHARSPING	Nahar Spinning Mills Limited
NAM-INDIA	Nippon Life India Asset Management Limited
NAMOEWASTE-SM	NAMOEWASTE-SM
NARMADA	Narmada Agrobase Limited
NATCAPSUQ	Natural Capsules Limited
NATCOPHARM	Natco Pharma Limited
NATHBIOGEN	Nath Bio-Genes (India) Limited
NATIONALUM	National Aluminium Company Limited
NAUKRI	Info Edge (India) Limited
NAUKRI.BL	INFO EDGE (I) LTD
NAVA	Nava Bharat Ventures Limited
NAVINFLUOR	Navin Fluorine International Limited
NAVKARCORP	Navkar Corporation Limited
NAVKARURB	Navkar Urbanstructure Limited
NAVNETEDUL	Navneet Education Limited
NAZARA	Nazara Technologies Limited
NBCC	NBCC (India) Limited
NBIFIN	N. B. I. Industrial Finance Company Limited
NCC	NCC Limited
NCLIND	NCL Industries Limited
NDGL	Naga Dhunseri Group Limited
NDL	Nandan Denim Limited
NDLVENTURE	NDL Ventures Limited
NDRAUTO	Ndr Auto Components Limited
NDTV	New Delhi Television Limited
NECCLTD	North Eastern Carrying Corporation Limited
NECLIFE	Nectar Lifesciences Limited
NELCAST	Nelcast Limited
NELCO	NELCO Limited
NEOGEN	Neogen Chemicals Limited
NEPHROCARE.ST	Nephro Care India Limited
NEPHROPLUS	Nephrocare Health Services Ltd.
NESCO	Nesco Limited
NESTLEIND	Nestle India Limited
NETF	Tata Mutual Fund - Tata Nifty Exchange Traded Fund
NETWEB	Netweb Technologies India Limited
NETWORK18	Network18 Media & Investments Limited
NEUEON	Neueon Corporation Limited
NEULANDLAB	Neuland Laboratories Limited
NEWGEN	Newgen Software Technologies Limited
NEWJAISA.ST	Newjaisa Technologies Ltd
NEXT30ADD	NEXT30ADD
NEXT50	NEXT50
NEXT50BETA	NEXT50BETA
NEXT50IETF	NEXT50IETF
NEXTMEDIA	Next Mediaworks Limited
NFL	National Fertilizers Limited
NGIL	Nakoda Group of Industries Limited
NGLFINE	NGL Fine-Chem Limited
NH	Narayana Hrudayalaya Ltd.
NHIT	NHIT
NHIT.BL	NATIONAL HIGHW INFRA TRUS
NHPC	NHPC Limited
NIACL	The New India Assurance Company Limited
NIBE	Nibe Limited
NIBL	NRB Industrial Bearings Limited
NIDAN-SM	NIDAN-SM
NIF100BEES	NIF100BEES
NIF100IETF	NIF100IETF
NIFTY_FIN_SERVICE	NIFTY_FIN_SERVICE
NIFTY1	Kotak Nifty 50 ETF
NIFTY100EW	Kotak Mahindra Mutual Fund - Kotak Nifty 100 Equal Weight Etf
NIFTYBEES	Nippon India Mutual Fund - Nippon India ETF Nifty BeES
NIFTYBETA	NIFTYBETA
NIFTYBETF	NIFTYBETF
NIFTYCASE	Zerodha Nifty 50 ETF
NIFTYETF	NIFTYETF
NIFTYIETF	ICICI PRUD NIFTY ETF
NIFTYQLITY	Aditya Birla Sun Life Nifty 200 Quality 30 ETF
NIITLTD	NIIT Limited
NIITMTS	NIIT LEARNING SYSTEMS LTD
NIKITA.ST	Nikita Papers Ltd.
NILAINFRA	Nila Infrastructures Limited
NILASPACES	Nila Spaces Limited
NILKAMAL	Nilkamal Limited
NINSYS	NINtec Systems Limited
NIPPOBATRY	Indo-National Limited
NIRAJ	Niraj Cement Structurals Limited
NIRAJISPAT	Niraj Ispat Industries Limited
NITCO	Nitco Limited
NITINSPIN	Nitin Spinners Limited
NITIRAJ	Nitiraj Engineers Limited
NIVABUPA	Niva Bupa Health Insurance Company Limited
NKIND	NK Industries Limited
NLCINDIA	NLC India Limited
NMDC	NMDC Limited
NMDC.T0	NMDC LTD
NOCIL	NOCIL Limited
NOIDATOLL	Noida Toll Bridge Company Limited
NORBTEAEXP	Norben Tea & Exports Limited
NORTHARC	Northern Arc Capital Ltd
NOVAAGRI	Nova Agritech Ltd.
NPBET	Tata Asset Management Limited - Tata Mutual Fund - Tata Nifty Private Bank Exchange Traded Fund
NPST	NPST
NPST-SM	Network People Services Technologies Ltd
NRAIL	N R Agarwal Industries Limited
NRBBEARING	NRB Bearing Limited
NRL	Nupur Recyclers Limited
NSIL	Nalwa Sons Investments Limited
NSLNISP	NMDC Steel Limited
NTPC	NTPC Limited
NTPC.T0	NTPC.T0
NTPCGREEN	NTPC Green Energy Limited
NUCLEUS	Nucleus Software Exports Limited
NURECA	Nureca Limited
NUVAMA	Nuvama Wealth
NUVAMA.BL	NUVAMA.BL
NUVOCO	Nuvoco Vistas Corporation Limited
NV20	Kotak Nifty 50 Value 20 ETF
NV20BEES	Nippon India Mutual Fund - Nippon India ETF Nifty 50 Value 20
NV20IETF	NV20IETF
NXST	NEXUS SELECT TRUST (PROPOSED)
NXST-RR	NXST-RR
NYKAA	FSN E-Commerce Ventures Limited
NYKAA.BL	FSN E Commerce Ventures
OAL	Oriental Aromatics Limited
OBCL	Orissa Bengal Carrier Limited
OBEROIRLTY	Oberoi Realty Limited
OBEROIRLTY.BL	OBEROI REALTY LTD
OCCLLTD	OCCL Limited
ODIGMA	ODIGMA CONSULTANCY SOLUTIONS LTD
OFSS	Oracle Financial Services Software Limited
OIL	Oil India Limited
OILCOUNTUB	Oil Country Tubular Limited
OILCOUNTUB.BL	OILCOUNTUB.BL
OILIETF	OILIETF
OLAELEC	Ola Electric Mobility Ltd
OLECTRA	Olectra Greentech Limited
OMAXAUTO	Omax Autos Limited
OMAXE	Omaxe Limited
OMFURN-SM	OMFURN-SM
OMINFRAL	OM INFRA LIMITED
OMKARCHEM	Omkar Speciality Chemicals Limited
ONELIFECAP	Onelife Capital Advisors Limited
ONEPOINT	One Point One Solutions Limited
ONESOURCE	ONESOURCE SPECIALTY PHARMA LTD
ONGC	Oil & Natural Gas Corporation Limited
ONGC.BL	ONGC.BL
ONMOBILE	OnMobile Global Limited
ONWARDTEC	Onward Technologies Limited
ONYX-SM	ONYX-SM
OPTIEMUS	Optiemus Infracom Limited
ORBTEXP	Orbit Exports Limited
ORCHASP	Orchasp Limited
ORCHPHARMA	Orchid Pharma Limited
ORIANA	ORIANA
ORIANA-SM	ORIANA POWER LTD
ORICONENT	Oricon Enterprises Limited
ORIENTALTL	Oriental Trimex Limited
ORIENTBELL	Orient Bell Limited
ORIENTCEM	Orient Cement Limited
ORIENTCER	Orient Ceratech Limited
ORIENTELEC	Orient Electric Limited
ORIENTHOT	Oriental Hotels Limited
ORIENTLTD	Orient Press Limited
ORIENTPPR	Orient Paper & Industries Limited
ORIENTTECH	Orient Technologies Limited
ORISSAMINE	The Orissa Minerals Development Company Limited
ORKLAINDIA	Orkla India Ltd
ORTEL	Ortel Communications Limited
ORTINGLOBE	Ortin Global Limited
OSELDEVICE.ST	OSEL DEVICES LIMITED
